outcome,variable,coef,se,pval,stars,N,R2,R2_adj
"CAR[-1,+1]",ai_mentioned,2.0059262491234624,2.0585861838893025,0.32984835649746314,,191,0.0383035235834166,-0.009515638227352685
"CAR[-1,+1]",post_chatgpt,1.9385491178364973,2.1064356896637735,0.35741691368508655,,191,0.0383035235834166,-0.009515638227352685
"CAR[-1,+1]",ai_x_post,-2.713587921646834,3.8640781816504965,0.4825169727235392,,191,0.0383035235834166,-0.009515638227352685
"CAR[-1,+1]",log_count,0.785772521971781,0.6313655855282784,0.21329343306990955,,191,0.0383035235834166,-0.009515638227352685
"CAR[-1,+1]",layoff_pct_n,-0.04812125709704397,0.13419929952956777,0.7199089078583836,,191,0.0383035235834166,-0.009515638227352685
"CAR[-1,+1]",beta_mkt_ff4,-2.4668004926371627,2.168812505565897,0.255372427277872,,191,0.0383035235834166,-0.009515638227352685
"CAR[-1,+1]",intl,6.018580890561134,2.3426285956046735,0.010194622889445079,**,191,0.0383035235834166,-0.009515638227352685
"CAR[-1,+1]",prior_6m_return,-5.390437218012855,3.426275762060795,0.11565764018123766,,191,0.0383035235834166,-0.009515638227352685
"CAR[-1,+1]",log_funds_raised,0.08460738219483005,0.4366307246127693,0.8463533838426065,,191,0.0383035235834166,-0.009515638227352685
"CAR[-1,+1]",const,-4.655793438168228,4.323887234752866,0.28158702218583087,,191,0.0383035235834166,-0.009515638227352685
"CAR[0,+20]",ai_mentioned,16.515259639682984,50.74462061397661,0.7448342128576992,,191,0.05641337728934703,0.009494705441856044
"CAR[0,+20]",post_chatgpt,6.369951187537699,3.6893498703804775,0.08424343758314358,*,191,0.05641337728934703,0.009494705441856044
"CAR[0,+20]",ai_x_post,-19.49112344006929,52.79314233641382,0.7119801341453558,,191,0.05641337728934703,0.009494705441856044
"CAR[0,+20]",log_count,1.093413200457469,0.9819749480510979,0.26550070046241714,,191,0.05641337728934703,0.009494705441856044
"CAR[0,+20]",layoff_pct_n,0.18256305195439068,0.23830393109495604,0.44362077188344295,,191,0.05641337728934703,0.009494705441856044
"CAR[0,+20]",beta_mkt_ff4,-0.44311326367191806,4.452223513000195,0.9207204195496179,,191,0.05641337728934703,0.009494705441856044
"CAR[0,+20]",intl,9.19706003680487,10.858050149546942,0.3969801546801017,,191,0.05641337728934703,0.009494705441856044
"CAR[0,+20]",prior_6m_return,-10.094808723943233,4.86358950421953,0.03793205868327675,**,191,0.05641337728934703,0.009494705441856044
"CAR[0,+20]",log_funds_raised,-0.15512086969752115,0.820117087386325,0.8499793420362106,,191,0.05641337728934703,0.009494705441856044
"CAR[0,+20]",const,-12.47493598446341,8.770724125642468,0.15492809377092415,,191,0.05641337728934703,0.009494705441856044
"CAR[-5,+30]",ai_mentioned,-28.32690688533409,6.868735874714542,3.722923482911103e-05,***,191,0.09120173233564965,0.046012868197643275
"CAR[-5,+30]",post_chatgpt,2.19165754322057,4.486944560827701,0.6252296383519882,,191,0.09120173233564965,0.046012868197643275
"CAR[-5,+30]",ai_x_post,35.07275651992531,16.77319065030944,0.036527984508885496,**,191,0.09120173233564965,0.046012868197643275
"CAR[-5,+30]",log_count,2.605120428875227,1.1306044567485602,0.02121233040748527,**,191,0.09120173233564965,0.046012868197643275
"CAR[-5,+30]",layoff_pct_n,0.100591115365523,0.25236589260963477,0.6901935958875629,,191,0.09120173233564965,0.046012868197643275
"CAR[-5,+30]",beta_mkt_ff4,-5.060792851577437,4.445690970738259,0.25497055768496657,,191,0.09120173233564965,0.046012868197643275
"CAR[-5,+30]",intl,-3.3957458789347803,28.903821350486634,0.9064762665665039,,191,0.09120173233564965,0.046012868197643275
"CAR[-5,+30]",prior_6m_return,-16.00527440428619,5.0844443712597664,0.0016445325494671328,***,191,0.09120173233564965,0.046012868197643275
"CAR[-5,+30]",log_funds_raised,-0.04138953168511916,0.8272622648828003,0.9600969399036445,,191,0.09120173233564965,0.046012868197643275
"CAR[-5,+30]",const,-12.579610375846919,10.011911552294906,0.20894764769403085,,191,0.09120173233564965,0.046012868197643275
